reaction   FLUX    DeltaG
GLYGLUtr                 0.00000               -25.09258
GLYOX                 0.00000               -29.52258
GLYPRO__Ltr                 0.00000               -25.09258
GMHEPAT                 0.00000               -40.96191
GMHEPK                 0.00000               -33.32450
GMHEPPA                 0.00000                17.60191
GND                 6.02418                -1.50000
GNNUC                 0.00000                25.40191
GRTT                 0.00033               -62.93742
GTHRDHpp                 0.00000                -6.82194
GUAPRT                 0.13046               -48.96191
GUI1_f                 0.00000                 0.60000
HACD1_f                 0.00000                 0.88737
HACD2_f                 0.00000                 3.48737
HACD3_f                 0.00000                 3.58737
HACD4_f                 0.00000                 3.58737
HACD5_f                 0.00000                 3.58737
HACD6_f                 0.00000                 3.58737
HACD7_f                 0.00000                -3.58737
HACD9_f                 0.00000                 3.58737
HADPCOADH3_f                 0.00000                 3.58737
HBZOPT                 0.00000               -66.63742
HCO3E_f                 0.15100                -9.46000
HCYSMT                 0.00000               -74.62450
HEMEti                 0.00000               -25.09258
HEXTT                 0.00000               -62.93742
HIBD_f                 0.00000                 5.98737
HISabc_f                 0.00000               -25.09258
HISDr_f                 0.00000                30.53742
HISTD                 0.00000               -46.48526
HMBS                 0.00034              -221.12057
HMGCOARi                 0.00103               -52.60966
HMGCOAS                 0.00103               -54.98450
HMGCOASi                 0.00000               -54.98450
HSDy_f                 0.00000                50.17354
HSERTA                 0.00506               -28.00000
HSTPTr_f                 0.00000                19.72323
HXPRT                 0.00000                12.46258
ICHORS_f                 0.00000                 0.90000
ICHORT                 0.00000               -48.44708
IGPDH                 0.00312               -28.14000
IGPS                 0.00187               -37.87809
ILETA_f                 0.22109               -38.02385
IMACTD_f                 0.00000               -57.17263
IMPC_f                 0.00000                 1.50000
IMPD                 0.00000               -33.37263
INSH                 0.00000               -15.22258
IPDDI_f                 0.00033                -4.80000
IPMD                 0.00000                 3.58737
IPPMIa_f                 0.00000                10.66000
IPPMIb_f                 0.00000                14.76000
IPPS                 0.00000               -62.88450
Kabc                 0.00000               -60.71708
KARA1                 0.95080               -47.83574
KARA1i                 0.00000               -47.83574
KARA2i                 0.00441               -46.27354
KAS13                 0.01827             -1194.54038
KAS17                 0.00000             -1107.46684
KAS8                 0.00703             -1053.96622
LACpts_f                 0.00000               -41.02450
LCADi                 0.00000               -65.77263
LDH_D_f                 0.00000                 9.66287
LDH_L_f                 0.00000                12.76287
